,
Theme: Population,
Subject: Population and Population Structure,
Topic: Key Annual Indicators on Population,
"Table Title: Singapore Residents By Single Year Of Age And Sex, At End June, Annual",
,
Data last updated: 29/09/2025,
Source: SINGAPORE DEPARTMENT OF STATISTICS,
,
,Number
Singapore residents comprises Singapore citizens and permanent residents. The latter group refers to non-citizens who have been granted permanent residence in Singapore.,
,
Notation:,
na   not available or not applicable,
nec  not elsewhere classified,
nes  not elsewhere specified,
 -     nil or negligible or not significant,
Notes,
Numbers may not add up to the totals due to rounding.,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",
Values are shown in Singapore dollars (unless otherwise specified).,
,
Generated by: SingStat Table Builder,
Date generated: 23/07/2026,
Contact: info@singstat.gov.sg,
